2019-9-2 10:32:12 ->  idx 1, 57EF14F5,  000013E5,  0426D52E
2019-9-2 10:32:12 ->  idx 2, 57EF14F5,  000013E5,  0426D52E
2019-9-2 10:32:12 ->  idx 3, 57EF14FA,  000013DE,  020FEAEE
2019-9-2 10:32:13 ->  idx 4, 57EF14F8,  000013E3,  02D3D3FE
2019-9-2 10:32:13 ->  idx 5, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 6, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 7, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 8, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 9, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 10, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 11, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 12, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 13, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 14, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 15, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 16, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 17, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 18, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 19, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 20, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 21, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 22, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 23, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 24, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 25, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 26, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 27, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 28, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 29, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 30, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 31, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 32, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 33, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 34, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 35, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 36, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 37, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 38, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 39, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 40, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 41, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 42, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 43, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 44, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 45, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 46, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 47, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 48, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 49, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 50, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 51, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 52, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 53, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 54, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 55, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 56, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 57, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 58, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 59, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  idx 60, 57EF0893,  0000106C,  0BF7D5B2
2019-9-2 10:32:13 ->  ==idx 61, 57EF18FF,  0000106C,  0BF7D5B2
